# GF(3) Sparse Polynomial Search — Degree 7
# Generated : 2026-03-29 16:51:32
# Filter    : leading coeff=1, a0!=0, s2<s1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   d | f(x)                                                              | f(x)^2 mod 3                                                      |   s1 |   s2 |  drop | criterion           
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# --- Winner 1: Minimum s2 (then maximum s1) ---
   7 | x**7 + x**6 + x**5 + 2*x**4 + x**3 + x**2 + 2*x + 1               | x**14 + 2*x**13 + x**10 + 2*x**9 + 2*x**6 + x + 1                 |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + 2*x**6 + 2*x**5 + x**4 + 2*x**3 + 2*x**2 + x + 2         | x**14 + 2*x**13 + x**10 + 2*x**9 + 2*x**6 + x + 1                 |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + x**6 + x**5 + 2*x**4 + 2*x**3 + x**2 + x + 1               | x**14 + 2*x**13 + x**9 + 2*x**7 + x**5 + 2*x + 1                  |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + 2*x**6 + 2*x**5 + x**4 + x**3 + 2*x**2 + 2*x + 2         | x**14 + 2*x**13 + x**9 + 2*x**7 + x**5 + 2*x + 1                  |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + x**6 + x**5 + 2*x**4 + 2*x**3 + 2*x**2 + x + 2             | x**14 + 2*x**13 + 2*x**8 + x**5 + x**4 + x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + 2*x**6 + 2*x**5 + x**4 + x**3 + x**2 + 2*x + 1           | x**14 + 2*x**13 + 2*x**8 + x**5 + x**4 + x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + x**6 + x**5 + 2*x**4 + 2*x**3 + 2*x**2 + 2*x + 1           | x**14 + 2*x**13 + x**8 + x**4 + 2*x**2 + x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + 2*x**6 + 2*x**5 + x**4 + x**3 + x**2 + x + 2             | x**14 + 2*x**13 + x**8 + x**4 + 2*x**2 + x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + x**6 + 2*x**5 + x**4 + 2*x**3 + 2*x**2 + x + 2             | x**14 + 2*x**13 + 2*x**12 + x**10 + x**6 + x + 1                  |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + 2*x**6 + x**5 + 2*x**4 + x**3 + x**2 + 2*x + 1           | x**14 + 2*x**13 + 2*x**12 + x**10 + x**6 + x + 1                  |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + 2*x**6 + x**5 + x**4 + x**3 + 2*x**2 + 2*x + 2             | x**14 + x**13 + x**10 + x**9 + 2*x**6 + 2*x + 1                   |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + x**6 + 2*x**5 + 2*x**4 + 2*x**3 + x**2 + x + 1           | x**14 + x**13 + x**10 + x**9 + 2*x**6 + 2*x + 1                   |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + 2*x**6 + x**5 + x**4 + 2*x**3 + x**2 + x + 1               | x**14 + x**13 + 2*x**8 + 2*x**5 + x**4 + 2*x + 1                  |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + x**6 + 2*x**5 + 2*x**4 + x**3 + 2*x**2 + 2*x + 2         | x**14 + x**13 + 2*x**8 + 2*x**5 + x**4 + 2*x + 1                  |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + 2*x**6 + x**5 + x**4 + 2*x**3 + x**2 + 2*x + 2             | x**14 + x**13 + x**8 + x**4 + 2*x**2 + 2*x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + x**6 + 2*x**5 + 2*x**4 + x**3 + 2*x**2 + x + 1           | x**14 + x**13 + x**8 + x**4 + 2*x**2 + 2*x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | x**7 + 2*x**6 + x**5 + x**4 + 2*x**3 + 2*x**2 + x + 2             | x**14 + x**13 + 2*x**9 + x**7 + 2*x**5 + x + 1                    |    8 |    7 |     1 | min s2 / max s1     
   7 | 2*x**7 + x**6 + 2*x**5 + 2*x**4 + x**3 + x**2 + 2*x + 1           | x**14 + x**13 + 2*x**9 + x**7 + 2*x**5 + x + 1                    |    8 |    7 |     1 | min s2 / max s1     
